phrase,count,source,seed,cluster,intent,intent_label,service_fit,priority
электронный документооборот подключить,812,similar,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
розничная цена это,1245,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
рабочая документация и проектная документация разница,742,similar,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
bitrix24 что это,722,similar,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
bitrix24 desktop,669,similar,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
асу тп что это,1164,similar,автоматизация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
компьютер должен поддерживать доверенный модуль 2 0,661,similar,внедрение ai ассистента,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
как сделать автоматическое содержание в ворде,1054,similar,автоматизация документов,other,informational,Информационный,blog,P4-blog
равновесная цена это,1127,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс телефония,1120,similar,bitrix24 ai,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация разработки документов,105,popular,автоматизация документов,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
1c bitrix ru,592,similar,интеграция битрикс24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
срм битрикс 24,1068,similar,чат бот битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
бизнес ассистент это,560,similar,автоматизация коммерческих предложений,automation-sales,commercial_medium,Коммерческий (средний),sales-ai-agent,P2-landing/ads
внедрение ai ассистента,46,popular,внедрение ai ассистента,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
внедрение и настройка битрикс24,33,popular,настройка битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
битрикс24 войти,1043,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
настройка битрикс24 услуги,21,popular,настройка битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
внедрение crm bitrix24,17,popular,внедрение crm bitrix24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
специалист по работе с системами искусственного интеллекта,920,similar,внедрение ai ассистента,other,informational,Информационный,blog,P4-blog
сенсорная интеграция что это,985,similar,внедрение ai ассистента,other,irrelevant,Нерелевантный (шум),skip,P0-skip
армторг ру куплю,985,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация работ с документами,470,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
автоматизация электронных документов,435,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
ассистивные технологии,830,similar,внедрение ai ассистента,other,informational,Информационный,blog,P4-blog
срм система что это,921,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация управления документами,389,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
автоматизации обработки документов,365,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
saby документооборот,371,similar,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
автоматизация учета документов,341,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
автоматизации создания документов,306,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
автоматизация битрикс24,300,popular,битрикс24 автоматизация,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
электронная коммерция это,804,similar,автоматизация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
savefrom net помощник,772,similar,внедрение ai ассистента,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация хранения документов,232,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
ооо кех екоммерц что это за организация,721,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
нормативные документы автоматизация,208,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
бизнес ассистент кто это,207,similar,автоматизация коммерческих предложений,automation-sales,commercial_medium,Коммерческий (средний),sales-ai-agent,P2-landing/ads
электронный документ автоматизация документооборота,181,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
битрикс 24 регистрация,684,similar,настройка битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация подготовки документов,169,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
интеграция битрикс24 с 1с,162,popular,интеграция битрикс24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
битрикс 24 что это за программа,671,similar,интеграция битрикс24 с 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ассистивные технологии это,167,similar,внедрение ai ассистента,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
программа для работы с пдф файлами,564,similar,автоматизация документов,other,informational,Информационный,blog,P4-blog
что такое франшиза простыми словами в бизнесе,563,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
коммерция это простыми словами,662,similar,автоматизация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация проверки документов,150,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
кто придумал сыр,642,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация текстовых документов,131,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация заполнения документа,130,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация ввода документов,126,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация поиска документов,116,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация оформления документов,114,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация формирования документов,110,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
тракт автоматика,519,similar,автоматизация документов,other,informational,Информационный,blog,P4-blog
автоматизация регистрации документов,108,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
системы автоматизации нормативные документы,102,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
запирающее устройство в квитанции что это,112,similar,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка 1с битрикс24,100,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
crm битрикс 24 что это,104,similar,интеграция битрикс24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
первичные документы автоматизация,93,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация технического документа,92,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
почта битрикс24 настройка,90,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
генерация коммерческого предложения,90,popular,генерация коммерческих предложений,automation-sales,commercial_medium,Коммерческий (средний),sales-ai-agent,P3-seo
настройки crm битрикс24,88,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация создания текстовых документов,86,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация обработки электронных документов,81,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация печати документов,79,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
bitrix24 ai,79,popular,bitrix24 ai,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
битрикс24 настройка прав,78,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация процесса создания документов,76,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация работы с текстовыми документами,74,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
написать дипломную работу с помощью нейросети,84,similar,внедрение ai ассистента,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация коммерческого предложения,73,popular,автоматизация коммерческих предложений,automation-sales,commercial_medium,Коммерческий (средний),sales-ai-agent,P3-seo
автоматизация хранения электронных документов,69,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация работы с данными и документами,68,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация юридических документов,65,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация шаблонов документов,61,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация процессов подготовки документов,59,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка телефонии битрикс24,59,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация процессов обработки документов,58,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
приложение битрикс24 настройки,58,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
битрикс24 автоматизация процессов,58,popular,битрикс24 автоматизация,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
битрикс24 настройка задач,55,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация приема документов,54,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
пользователь битрикс24 настройки,54,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
прочие элементы тюнинга купить,562,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация контроля исполнения документов,51,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройки сайта битрикс24,51,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
битрикс24 настройка сервера,50,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройки портала битрикс24,50,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
битрикс24 настройка бизнес,48,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
битрикс24 настройка прав доступа,45,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
ai для отдела продаж,42,popular,ai для отдела продаж,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация создания и обработки документов,41,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка роботов битрикс24,40,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация распознавания документов,39,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка коробки битрикс24,39,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация процесса формирования документов,38,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка полей битрикс24,37,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
интеграция и настройка битрикс24,37,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка воронки битрикс24,36,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
битрикс24 настройка уведомлений,36,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
помощь в настройке битрикс24,36,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация бизнес процессов битрикс24,36,popular,битрикс24 автоматизация,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация денежных документов,35,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация согласования документов,35,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация составления документов,34,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
чат бот для битрикс24,32,popular,чат бот битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация обработки текстового документа,31,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация архивного хранения документов,31,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка номера битрикс24,31,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
коробочный битрикс24 настройка,29,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка открытых линий битрикс24,28,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка бизнес процессов в битрикс24,28,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация документов word,27,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка смарт процессов в битрикс24,26,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка карточек в битрикс24,25,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
роботы битрикс24,425,popular,роботы битрикс24,other,informational,Информационный,blog,P4-blog
настройка сделки в битрикс24,23,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация продаж битрикс24,21,popular,битрикс24 автоматизация,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
коннектор 1с битрикс24 настройка,20,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация задач в битрикс24,20,popular,битрикс24 автоматизация,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка воронки продаж в битрикс24,19,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
настройка интеграции 1с и битрикс24,17,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
битрикс24 установка и настройка,16,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
битрикс24 настройка меню,15,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
вендинговый автомат что это,424,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
чем робот отличается от автомата простыми словами,421,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
битрикс десктоп,495,similar,роботы битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
написать статью с помощью искусственного интеллекта,472,similar,внедрение ai ассистента,other,irrelevant,Нерелевантный (шум),skip,P0-skip
прочие комплектующие купить,447,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 вакансии,321,similar,роботы битрикс24,other,informational,Информационный,blog,P4-blog
битрикс 24 веб,389,similar,чат бот битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
электронный документооборот что это и как работает,272,similar,автоматизация документов,other,informational,Информационный,blog,P4-blog
интегратор это простыми словами,364,similar,автоматизация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 регистрация бесплатно,364,similar,настройка битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс бнгф,343,similar,чат бот битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
б24 битрикс,317,similar,интеграция битрикс24 с 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
бизнес процессы это простыми словами,209,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
b24 битрикс,305,similar,интеграция битрикс24 с 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 авторизация,289,similar,роботы битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
кто такой коммерс,273,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
франчайзинг что это такое простыми словами,220,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 десктоп,217,similar,интеграция битрикс24 с 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
программа битрикс 24 что это как работать,117,similar,интеграция битрикс24 с 1с,other,informational,Информационный,blog,P4-blog
скачать bitrix24 для компьютера,67,similar,роботы битрикс24,other,informational,Информационный,blog,P4-blog
робот задача битрикс24,49,popular,роботы битрикс24,other,informational,Информационный,blog,P4-blog
brave2033 круглосуточный бот для метро 2033,53,similar,роботы битрикс24,other,informational,Информационный,blog,P4-blog
автоматизация бухгалтерских документов,124,popular,автоматизация документов,other,product_1c,Продукт 1С (не услуга),skip,P0-skip
битрикс24 триггеры и роботы,21,popular,роботы битрикс24,other,informational,Информационный,blog,P4-blog
ai automation что это,103,similar,автоматизация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
листинг программы это,95,similar,автоматизация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
комплексная автоматизация перепроведение документов,56,popular,автоматизация документов,other,product_1c,Продукт 1С (не услуга),skip,P0-skip
перепроведение документов в 1с комплексная автоматизация,27,popular,автоматизация документов,other,product_1c,Продукт 1С (не услуга),skip,P0-skip
