phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
маркетолог это,13343,similar,ии для маркетинга,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ушаков помощник президента,13316,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
виды автоматов,13146,similar,автоматизация производства,automation-processes,informational,Информационный,informational,blog,P4-blog
управление производством и технологии 8 класс,12621,similar,разработка erp системы,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
производ,12877,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
учеба ру,12859,similar,ии для образования,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматический ввод резерва,12640,similar,автоматизация склада,automation-processes,informational,Информационный,informational,blog,P4-blog
ли хе ри,12166,similar,ии для hr,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
заводы рф,12062,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
мой груз,11988,similar,ии для логистики,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
небо поможет нам,11973,similar,devops услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
le production,11796,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация процессов и производств,11150,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
юстиция это,11610,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
машина автошкола,11573,similar,машинное обучение для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что такое электронная подпись,11528,similar,цифровая трансформация услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
озвучка текста голосом бесплатно,11504,similar,речевая аналитика звонков,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация технологических производств,10870,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
стройком,11102,similar,ии для строительства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
правовое государство это,10831,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
at store,10822,similar,ии для ритейла,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
иноагент это,10641,similar,разработка ai агентов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
файл из пдф в ворд,10614,similar,ocr документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация технологических процессов и производств,10041,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
риелтор или риэлтор,10349,similar,ии агент для бизнеса заказать,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
колледж автоматизации производства,9652,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
поддержка макс написать,9626,similar,чат бот для поддержки клиентов,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
система всемогущего дизайнера,10156,similar,разработка ии решений,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
агентское вознаграждение,10104,similar,ai агент для продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
открыть приложение яндекс,10084,similar,yandexgpt для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
распознать pdf,10067,similar,распознавание документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
агентство свои опрос,9994,similar,ии агент для бизнеса заказать,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
курсы по нейросетям,9887,similar,внедрение нейросетей в бизнес,automation-processes,informational,Информационный,informational,blog,P4-blog
сервис заявителя,9428,similar,цифровая трансформация услуги,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
пко право онлайн,9893,similar,ии консультант для сайта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
цифровые инновации,9719,similar,цифровизация бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
айти специалист,9742,similar,it консалтинг,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
синхронизация это,9658,similar,разработка api интеграции,integration,negative,Негатив / шум,irrelevant,skip,P0-skip
если позову я приду если упаду,9649,similar,devops услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
позвони мне позвони текст,9386,similar,речевая аналитика звонков,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
диджитал это,9333,similar,цифровая трансформация услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что делает бухгалтер,9227,similar,ии для бухгалтерии,automation-processes,negative,Негатив / шум,product_1c,skip,P0-skip
жилищный ответ,9081,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
центр реализации,7916,similar,ии агент для бизнеса заказать,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
ии для юристов,8420,popular,ии для юристов,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
электронная коммерция,8815,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ретейл,8773,similar,ии для ритейла,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
недвижимое имущество это,8757,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
деловая среда,8698,similar,gpt для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
правда или действие онлайн,8565,similar,ии консультант для сайта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
как подключить колонку алиса к телефону,8498,similar,голосовой робот для звонков,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
техническая эксплуатация и сопровождение информационных систем,8496,similar,ии для техподдержки,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ск строй,8332,similar,ии для строительства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
менеджмент в образовании,8223,similar,машинное обучение для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
rhythm is a dancer,8303,similar,ии для ритейла,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ооо автоматика,8013,similar,автоматизация производства,automation-processes,informational,Информационный,informational,blog,P4-blog
номер поддержки т банка,7546,similar,чат бот для поддержки клиентов,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
ооо строитель,8067,similar,ии для строительства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
башня помощника,7936,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
бот озвучивает текст,7699,similar,голосовой бот для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
ати грузоперевозки поиск,7746,similar,ии для логистики,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
сколько учиться в автошколе,7550,similar,машинное обучение для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
бухучет это,7531,similar,ии для бухгалтерии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
риэлтор это,7454,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что делать если взломали телеграмм,7314,similar,разработка telegram mini app,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
министр цифрового развития,7256,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
хвх кс2,7178,similar,ии для hr,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
кто такой логист,7100,similar,ии для логистики,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
no law,7086,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
retail ru,7086,similar,ии для ритейла,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
маркетинговая стратегия,7038,similar,ии для маркетинга,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ооо црцрии,6919,similar,ии для ритейла,automation-processes,informational,Информационный,informational,blog,P4-blog
t business,6993,similar,gpt для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
www consultant ru,6962,similar,ии консультант для сайта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
зачем прилетал директор цру в москву,6924,similar,разработка ai агентов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
основы бухгалтерского учета,6887,similar,ии для бухгалтерии,automation-processes,negative,Негатив / шум,product_1c,skip,P0-skip
звонит или звонит ударение,6880,similar,речевая аналитика звонков,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
распознать текст из pdf,6860,similar,распознавание документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
бнэио право что это,6738,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
помощник директора,6649,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
цифровой маркетинг,6609,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
распознать пдф в ворд,6449,similar,распознавание документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
my cloud,6416,similar,миграция в облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
распознать текст пдф,6386,similar,распознавание документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
ооо пко право онлайн,6346,similar,ии консультант для сайта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
распознать текст из pdf в word,6341,similar,распознавание документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
устройство автоматического ввода резерва,6182,similar,автоматизация производства,automation-processes,informational,Информационный,informational,blog,P4-blog
сделать презентацию с помощью нейросети бесплатно,6161,similar,внедрение нейросетей в бизнес,automation-processes,informational,Информационный,informational,blog,P4-blog
чатбот,6043,similar,разработка чат бота для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
коммерческое at,5576,similar,gpt для бизнеса,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
как создать бота в тг,5966,similar,разработка чат бота для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
что построить в построй корабль,6040,similar,ии для строительства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
задать вопрос нейросети,5482,similar,внедрение нейросетей в бизнес,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
что такое очное обучение,6027,similar,ии для образования,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
содействие это,5977,similar,цифровая трансформация услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
принципал это,5934,similar,разработка ai агентов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ооо лирон ит зачем звонят,5919,similar,разработка ai агентов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
чем занимаются логисты,5813,similar,ии для логистики,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
тева производитель,5750,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
распознавание документов,5179,popular,распознавание документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
камень я не дам,5699,similar,цифровая трансформация услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
академия цифровых технологий,5674,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
консалтинговые услуги,5643,similar,it консалтинг,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
дело веб,5583,similar,devops услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
коммунальная квартира это,5551,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нпо автоматики,5367,similar,автоматизация производства,automation-processes,informational,Информационный,informational,blog,P4-blog
фреш маркет,5465,similar,ии для ритейла,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
цифровизация это,5425,similar,цифровая трансформация услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
как создать телеграмм канал,5392,similar,разработка telegram mini app,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ооо стройка,5348,similar,ии для строительства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
фабрика процессов,4772,similar,ии для производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
школа технологии обучения,5193,similar,ии для образования,automation-processes,informational,Информационный,informational,blog,P4-blog
создать аккаунт телеграм,5133,similar,разработка telegram mini app,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
portal 1c,5126,similar,интеграция 1с с сайтом,1c,negative,Негатив / шум,irrelevant,skip,P0-skip
мск эдитор,5125,similar,it аутсорсинг москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
шеди помощник,5094,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
я создан для тебя,5083,similar,разработка ии решений,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
хонда n wgn,5025,similar,ии для hr,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
строительная зона,4977,similar,ии для строительства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
хотите верьте хотите нет,4960,similar,devops услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
комфорт сервис ит что это зачем звонят,4923,similar,ии для техподдержки,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
пдф в ворд с распознаванием текста,4890,similar,ocr документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
агентский договор это,4875,similar,ai агент для продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
складское оборудование,4830,similar,автоматизация склада,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
help max ru поддержка,4238,similar,чат бот для поддержки клиентов,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
что такое юриспруденция,4763,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что значит очное обучение,4733,similar,ии для образования,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
технологический процесс практическая работа анализ технологических операций,4621,similar,разработка erp системы,automation-processes,informational,Информационный,informational,blog,P4-blog
агрегатор нейросетей,4665,similar,внедрение нейросетей в бизнес,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
rustore что это,4663,similar,ии для ритейла,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
