phrase,count,source,seed,cluster,intent,intent_label,service_fit,priority
сколько стоит поменять права,3894,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
система управления заказами озон,3886,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
купи продай бесплатные объявления,3884,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
я хочу в адреналин,3850,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
асу тп это,3849,similar,автоматизация бизнес процессов,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
дверь мне запили,3829,similar,внедрение llm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
агрегатор нейросетей,3823,similar,корпоративная нейросеть,other,irrelevant,Нерелевантный (шум),skip,P0-skip
система управления заказами пвз,3786,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
промышленная автоматика,3428,similar,автоматизация бизнес процессов,automation-processes,informational,Информационный,blog,P4-blog
помошник или помощник как правильно,3501,similar,корпоративный ии ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
помощник флориста,3493,similar,корпоративный ии ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
амо срм вход в личный кабинет,3429,similar,автоматизация amoCRM,other,irrelevant,Нерелевантный (шум),skip,P0-skip
поставь мне секс,3137,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
магазин да каталог товаров и цены,3083,similar,ии для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
виды нейросетей,2569,similar,корпоративная нейросеть,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
концерн автоматика,2949,similar,автоматизация бизнес процессов,automation-processes,informational,Информационный,blog,P4-blog
audit it ru,3015,similar,аудит бизнес процессов,other,irrelevant,Нерелевантный (шум),skip,P0-skip
корпоратив это,2996,similar,корпоративный ии ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
электротехника и автоматика,2891,similar,автоматизация компании,other,informational,Информационный,blog,P4-blog
администратор заблокировал выполнение этого приложения,2989,similar,автоматизация бизнеса с помощью ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
программа лояльности это,2873,similar,автоматизация поддержки клиентов,support,irrelevant,Нерелевантный (шум),skip,P0-skip
текон автоматика,2755,similar,автоматизация бизнес процессов,automation-processes,informational,Информационный,blog,P4-blog
про бизнесмена фому,2734,similar,rag для бизнеса,other,informational,Информационный,blog,P4-blog
автоматика сервис,2694,similar,автоматизация бизнес процессов,automation-processes,informational,Информационный,blog,P4-blog
первичная документация это,2249,similar,автоматизация обработки документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
fc mod manager,2718,similar,автоматизация работы менеджеров,other,irrelevant,Нерелевантный (шум),skip,P0-skip
zapret как установить,2689,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
crm для продаж,2156,similar,заказать автоматизацию бизнеса,automation-processes,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
цель оправдывает средства,2608,similar,внедрение llm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
агентство свои опрос что это,2579,similar,аудит процессов компании,other,irrelevant,Нерелевантный (шум),skip,P0-skip
нейросети для бизнеса,2032,similar,корпоративная нейросеть,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
я всегда с собой беру видеокамеру,2507,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
приказ ни шагу назад,2436,similar,внедрение llm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сенсорная интеграция это,2415,similar,внедрение llm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
центр раскрытия корпоративной информации,1368,similar,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P1-landing
привет как дела что делаешь,2368,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сколько стоит поставить виниры,2358,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация процессов компания,1327,popular,автоматизация компании,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
пайтон это,2320,similar,автоматизация рутинных задач,other,irrelevant,Нерелевантный (шум),skip,P0-skip
парентеральное введение это,2292,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
business studio,2253,similar,rag для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
теория автоматического управления,2063,similar,автоматизация бизнес процессов,automation-processes,informational,Информационный,blog,P4-blog
фнс проверь себя и контрагента,2162,similar,аудит бизнес процессов,other,irrelevant,Нерелевантный (шум),skip,P0-skip
study ai нейросеть,1657,similar,корпоративная нейросеть,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
business gazeta,2155,similar,rag для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
компания автоматизация бизнеса,1085,popular,автоматизация компании,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
не мешайте я гуляю посреди весны,2092,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
служба на ряду,2071,similar,автоматизация компании,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация документооборота,1557,popular,автоматизация документооборота,automation-documents,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
асу тп вакансии,1954,similar,автоматизация работы менеджеров,other,informational,Информационный,blog,P4-blog
либерализация цен,2020,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
все зависит от нас самих скачать,1911,similar,автоматизация crm,other,informational,Информационный,blog,P4-blog
что такое срм,1993,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
проверено или проверенно,1983,similar,аудит процессов компании,other,irrelevant,Нерелевантный (шум),skip,P0-skip
программа на самом деле,1965,similar,автоматизация бизнеса с помощью ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сколько стоит поставить спираль,1961,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сэд что это,1961,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация систем компания,941,popular,автоматизация компании,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
внесение изменений в рабочую документацию,1449,similar,ии для обработки документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
когда лучше покупать авиабилеты,1861,similar,ии для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
купи продай доска объявлений,1850,similar,ии для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
управленческий учет это,1845,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
подготовка исполнительной документации,1324,similar,ии для обработки документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
вам необходимо разрешение на выполнение этой операции,1704,similar,услуги по внедрению ии,other,informational,Информационный,blog,P4-blog
повесить или повешать как правильно,1801,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
внедрение ии в бизнес,783,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P1-landing
windows service zapret is installed,1790,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 войти,1774,similar,ии для битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс веб,1742,similar,ии для битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
что такое сэд,1720,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
компании автоматизация решения,706,popular,автоматизация компании,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
признаки фирмы,1709,similar,автоматизация компании,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация бизнес процессов внедрение,683,popular,автоматизация бизнес процессов,automation-processes,commercial_high,Коммерческий (высокий),business-process-automation,P1-landing
baza магазин техники,1671,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
аи помощник,1659,similar,корпоративный ии ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
срм система это,1633,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
к работе по проведению исследований допускаются специалисты,1527,similar,аудит процессов компании,other,informational,Информационный,blog,P4-blog
как подключить родительский контроль,1626,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
гост на оформление рабочей документации,1109,similar,автоматизация обработки документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
этрн внедрение,603,similar,интеграция ии с 1с,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
business gazeta ru,1555,similar,rag для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
как сделать автоматическое содержание,1445,similar,автоматизация бизнес процессов,automation-processes,informational,Информационный,blog,P4-blog
торговое дело кем работать после колледжа,1444,similar,внедрение ии в бизнес,ai-corporate,informational,Информационный,blog,P4-blog
фз об аудиторской деятельности,1534,similar,аудит бизнес процессов,other,irrelevant,Нерелевантный (шум),skip,P0-skip
внедрение автоматизации в компании,522,popular,автоматизация компании,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
как стать бизнесменом,1423,similar,rag для бизнеса,other,informational,Информационный,blog,P4-blog
скь,1520,similar,ии для crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
система автоматизации бизнес процессов,987,popular,автоматизация бизнес процессов,automation-processes,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
udl client,1493,similar,автоматизация поддержки клиентов,support,irrelevant,Нерелевантный (шум),skip,P0-skip
этот сайт не может обеспечить безопасное подключение,1471,similar,внедрение llm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
business tbank ru,1464,similar,rag для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
технологии автоматизация бизнес компания,454,popular,автоматизация компании,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
информационные системы для автоматизации компании,449,popular,автоматизация компании,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
amocrm что это,950,similar,ии для crm,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
автоматизация внедрение технологии компания,439,popular,автоматизация компании,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
сэдо что это,1432,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
закон об аудиторской деятельности,1421,similar,аудит бизнес процессов,other,irrelevant,Нерелевантный (шум),skip,P0-skip
локальный модуль честный знак не инициализирован,1419,similar,автоматизация amoCRM,other,irrelevant,Нерелевантный (шум),skip,P0-skip
црм это,1417,similar,ии для crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
что такое битрикс 24,1401,similar,ии для битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
